,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
1047,1200,5,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9595219331266835,0.04549956243966823,0.8205965507227763,0.08711131199423101,0.8129078314680381
234,50,12,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9559917922759799,0.04744213000875587,0.8179848803774681,0.0877430836306188,0.8128576939092278
830,700,15,3,2,log2,42,10,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9643662045951198,0.04269021867586344,0.8212650701137914,0.0869488570517509,0.8127131595929201
413,100,18,3,2,log2,42,19,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_skewness_42', 'ref_kurtosis_21', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_cont_kurtosis_23', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_mean_kurtosis_45', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9644155190307013,0.042660668456845595,0.8289436086682407,0.08506067275553084,0.8126932514917236
306,100,3,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9191299228885003,0.06431188913415647,0.8178054554476335,0.08778632020006634,0.8126732147560176
231,50,12,3,2,log2,42,9,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9594794773784969,0.045523417478404854,0.8202411949481858,0.08719754276112242,0.8125372461602509
322,100,5,3,2,log2,42,14,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_cv_40', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9573657242726376,0.046695688495893485,0.8244741853594179,0.08616475531528209,0.8124870565546951
40,25,5,3,2,log2,42,8,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_cor_kurtosis_62']",0.9609346544817376,0.044698523059048735,0.8193203428355267,0.08742060129413483,0.8124699292937457
278,50,18,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.962748663837615,0.04364839369666304,0.8209779671576319,0.08701866225795882,0.8124123196532125
236,50,12,3,2,log2,42,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51']",0.9595345109010777,0.04549249283705383,0.8157105831174298,0.08828956119262564,0.8122819428033355
