,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
254,"(100, 50, 25, 10, 5)",relu,adam,0.05,adaptive,200,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9110814007393172,0.06330167755954297,0.8301400975449156,0.09278301350810046,0.8231403762898983
255,"(100, 50, 25, 10, 5)",relu,adam,0.05,adaptive,500,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9110814007393172,0.06330167755954297,0.8301400975449156,0.09278301350810046,0.8231403762898983
253,"(100, 50, 25, 10, 5)",relu,adam,0.05,constant,500,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9110814007393172,0.06330167755954297,0.8301400975449156,0.09278301350810046,0.8231403762898983
252,"(100, 50, 25, 10, 5)",relu,adam,0.05,constant,200,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9110814007393172,0.06330167755954297,0.8301400975449156,0.09278301350810046,0.8231403762898983
247,"(100, 50, 25, 10, 5)",relu,adam,0.005,adaptive,500,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.862853514412377,0.07861605641631624,0.8292091054532449,0.0930369351593108,0.822171019139505
245,"(100, 50, 25, 10, 5)",relu,adam,0.005,constant,500,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.862853514412377,0.07861605641631624,0.8292091054532449,0.0930369351593108,0.822171019139505
244,"(100, 50, 25, 10, 5)",relu,adam,0.005,constant,200,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.862853514412377,0.07861605641631624,0.8292091054532449,0.0930369351593108,0.822171019139505
246,"(100, 50, 25, 10, 5)",relu,adam,0.005,adaptive,200,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.862853514412377,0.07861605641631624,0.8292091054532449,0.0930369351593108,0.822171019139505
215,"(100, 50, 25, 10)",relu,adam,0.05,adaptive,500,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.933191222831825,0.05487009024458163,0.8233976003728721,0.0946065790763548,0.8161200289596663
214,"(100, 50, 25, 10)",relu,adam,0.05,adaptive,200,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.933191222831825,0.05487009024458163,0.8233976003728721,0.0946065790763548,0.8161200289596663
