,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
159,200,5,3,2,log2,42,1,['rdvi_skewness'],0.8412073294903104,0.08459294397467103,0.843531017765895,0.0890506651205216,0.8431170786594555
221,500,12,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.905468514657902,0.06526902933880228,0.8441424823335179,0.0888764944082141,0.8428989383095832
309,1000,8,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8903486804147057,0.0702952280774277,0.8440861255223696,0.08889256146478845,0.8428421318430268
249,700,5,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8873784261396785,0.07124095115793849,0.8457248672398703,0.08842417227372781,0.8428218405481473
244,700,3,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8233916750789805,0.08921225124638887,0.8444357539092661,0.08879283715871053,0.8427764019509649
340,1200,3,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8242036188797014,0.08900694161463364,0.8443658543577462,0.0888127835236653,0.8427057568042289
60,50,5,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8810882164734453,0.07320341801674066,0.844317575349078,0.08882655768823622,0.8426569628194682
297,1000,5,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8872228446453889,0.0712901422141794,0.8455495942254228,0.08847438766325655,0.8426432693855785
201,500,5,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8876685841373883,0.07114911944897441,0.8455283637834361,0.08848046820995711,0.8426216394460276
325,1000,15,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9060640482270951,0.06506311217784527,0.8438196209443909,0.08896850133805669,0.8425735008987345
89,50,18,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9373248102756039,0.05314552991340394,0.8454645252296392,0.08849874950030538,0.8425565996291217
333,1000,18,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.905914677960633,0.06511482099578748,0.843768755207612,0.08898298804883759,0.842522229318311
