,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
836,500,0.07,1,reg:squarederror,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.856989851553903,0.08027907168481602,0.8403563447881484,0.08994952414413326,0.8386534791325553
1170,1000,0.05,4,reg:squarederror,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9999652650797504,0.0012511289291462391,0.8450378298545631,0.08862084436708813,0.8386520261397786
1212,1000,0.07,1,reg:squarederror,3,"['rdvi_skewness', 'mcariosavi_q3', 'tex_mean_skewness_4']",0.8566927953536376,0.08036240501931516,0.8398947771102091,0.09007946299698893,0.8386173418211949
570,100,0.1,4,reg:squarederror,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9912462287497009,0.01986170421211904,0.844984787006008,0.08863601032608881,0.8385967974595523
1146,1000,0.05,2,reg:squarederror,9,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_cv_3']",0.9882307447590203,0.023029971678338354,0.84242834825983,0.0893638935348627,0.8385955242985826
1285,1000,0.1,1,reg:squarederror,5,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.893995749546304,0.06911631143453226,0.8407207288916809,0.0898468113215494,0.8385913268715162
1207,1000,0.07,1,reg:squarederror,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4']",0.8959272496412836,0.06848373357978695,0.8419950124373901,0.08948668842984382,0.8385878968026168
1136,1000,0.05,1,reg:squarederror,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8633398686224271,0.0784765369531547,0.8402784976475923,0.08997145254401899,0.8385748016225
416,100,0.05,3,reg:squarederror,4,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.9151630592122736,0.06183173213571461,0.8402679869704656,0.08997441283839795,0.8385641788314839
1369,1000,0.15,2,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.9996057916319971,0.004214847178050628,0.8432221001908079,0.08913852838445724,0.8385358042725983
1145,1000,0.05,2,reg:squarederror,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_cv_3']",0.9881452785390884,0.023113440180281285,0.8427927285719794,0.08926050790106367,0.8385323689126835
154,50,0.1,1,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8353672958263393,0.08613446667027323,0.8432139880115108,0.08914083450787036,0.838527449609681
932,500,0.1,3,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9994436316553345,0.00500725973114122,0.8440418826548323,0.08890517285961386,0.8385023866835558
1279,1000,0.1,1,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.9145938819061687,0.06203880223461815,0.8431825163176128,0.08914978068952643,0.8384950371858022
685,100,0.2,1,reg:squarederror,5,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.861275189521861,0.07906713150181847,0.8405833532475604,0.08988554863897656,0.8384521146546133
1061,500,0.2,1,reg:squarederror,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8802863722443168,0.0734498154566871,0.840150150888536,0.09000759428229416,0.838445085831347
542,100,0.1,2,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9242620229552058,0.058421911647111295,0.8438399494961182,0.0889627110472131,0.8382932810355979
1247,1000,0.07,4,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9999631393528692,0.0012888441090897161,0.8438278463367559,0.0889661585006543,0.838280747982597
307,50,0.2,1,reg:squarederror,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3']",0.8548241794835342,0.08088464016295789,0.8416100769356714,0.08959562691795037,0.8381946608049041
1359,1000,0.15,1,reg:squarederror,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4']",0.9122400385731196,0.06288790467272085,0.840743939993318,0.08984026458311913,0.8381821803149263
931,500,0.1,3,reg:squarederror,14,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9993946081091437,0.0052232067012098595,0.8440810444514488,0.0888940099110247,0.8381005913619154
153,50,0.1,1,reg:squarederror,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8353672958263393,0.08613446667027323,0.8432139880115108,0.08914083450787036,0.8380874699083449
1275,1000,0.1,1,reg:squarederror,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9201509555416546,0.059986534761001346,0.8444889984887716,0.08877764040880387,0.8380805780968253
872,500,0.07,4,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9998459559149392,0.002634762215152173,0.8436328788806206,0.08902167446487431,0.8380788554528831
385,100,0.05,1,reg:squarederror,5,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8327922105233161,0.08680548458365633,0.8402060883181106,0.08999184439564438,0.8380698060763742
308,50,0.2,1,reg:squarederror,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4']",0.8528057075253141,0.08144499449699315,0.8409981120202927,0.08976854360582996,0.8380061410099219
