,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
197,"(50, 25, 10, 5)",tanh,adam,0.01,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911800062117837,0.09700741957120244,0.8435011301818294,0.0890591696244764,0.8401264914795508
196,"(50, 25, 10, 5)",tanh,adam,0.01,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911800062117837,0.09700741957120244,0.8435011301818294,0.0890591696244764,0.8401264914795508
199,"(50, 25, 10, 5)",tanh,adam,0.01,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911800062117837,0.09700741957120244,0.8435011301818294,0.0890591696244764,0.8401264914795508
198,"(50, 25, 10, 5)",tanh,adam,0.01,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911800062117837,0.09700741957120244,0.8435011301818294,0.0890591696244764,0.8401264914795508
187,"(50, 25, 10, 5)",tanh,adam,0.005,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911858528197431,0.09700606153955263,0.8434508622466041,0.08907347152052382,0.8400751395996306
184,"(50, 25, 10, 5)",tanh,adam,0.005,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911858528197431,0.09700606153955263,0.8434508622466041,0.08907347152052382,0.8400751395996306
185,"(50, 25, 10, 5)",tanh,adam,0.005,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911858528197431,0.09700606153955263,0.8434508622466041,0.08907347152052382,0.8400751395996306
186,"(50, 25, 10, 5)",tanh,adam,0.005,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911858528197431,0.09700606153955263,0.8434508622466041,0.08907347152052382,0.8400751395996306
191,"(50, 25, 10, 5)",tanh,adam,0.001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911816927658089,0.09700702782570592,0.8434060894512783,0.08908620804294134,0.8400294013531926
190,"(50, 25, 10, 5)",tanh,adam,0.001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911816927658089,0.09700702782570592,0.8434060894512783,0.08908620804294134,0.8400294013531926
189,"(50, 25, 10, 5)",tanh,adam,0.001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911816927658089,0.09700702782570592,0.8434060894512783,0.08908620804294134,0.8400294013531926
188,"(50, 25, 10, 5)",tanh,adam,0.001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911816927658089,0.09700702782570592,0.8434060894512783,0.08908620804294134,0.8400294013531926
180,"(50, 25, 10, 5)",tanh,adam,0.0001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911809870387608,0.09700719174913403,0.8433956705888581,0.0890891716368113,0.8400187578252756
181,"(50, 25, 10, 5)",tanh,adam,0.0001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911809870387608,0.09700719174913403,0.8433956705888581,0.0890891716368113,0.8400187578252756
182,"(50, 25, 10, 5)",tanh,adam,0.0001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911809870387608,0.09700719174913403,0.8433956705888581,0.0890891716368113,0.8400187578252756
183,"(50, 25, 10, 5)",tanh,adam,0.0001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911809870387608,0.09700719174913403,0.8433956705888581,0.0890891716368113,0.8400187578252756
215,"(100, 50, 25, 10)",relu,adam,0.05,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8627344155054766,0.07865018435800078,0.8432904437713031,0.08911909736049745,0.8399112619658325
212,"(100, 50, 25, 10)",relu,adam,0.05,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8627344155054766,0.07865018435800078,0.8432904437713031,0.08911909736049745,0.8399112619658325
214,"(100, 50, 25, 10)",relu,adam,0.05,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8627344155054766,0.07865018435800078,0.8432904437713031,0.08911909736049745,0.8399112619658325
213,"(100, 50, 25, 10)",relu,adam,0.05,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8627344155054766,0.07865018435800078,0.8432904437713031,0.08911909736049745,0.8399112619658325
216,"(100, 50, 25, 10)",relu,adam,0.01,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8152104100311868,0.0912552089837838,0.8214145230719099,0.0951362672904386,0.8175636232998755
217,"(100, 50, 25, 10)",relu,adam,0.01,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8152104100311868,0.0912552089837838,0.8214145230719099,0.0951362672904386,0.8175636232998755
218,"(100, 50, 25, 10)",relu,adam,0.01,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8152104100311868,0.0912552089837838,0.8214145230719099,0.0951362672904386,0.8175636232998755
219,"(100, 50, 25, 10)",relu,adam,0.01,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8152104100311868,0.0912552089837838,0.8214145230719099,0.0951362672904386,0.8175636232998755
319,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.01,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.790347016330597,0.097200709909724,0.8212705584598645,0.09517460606492917,0.817416554329619
318,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.01,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.790347016330597,0.097200709909724,0.8212705584598645,0.09517460606492917,0.817416554329619
317,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.01,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.790347016330597,0.097200709909724,0.8212705584598645,0.09517460606492917,0.817416554329619
316,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.01,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.790347016330597,0.097200709909724,0.8212705584598645,0.09517460606492917,0.817416554329619
307,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.005,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7903849646552569,0.09719191258434924,0.8212314564503141,0.09518501653451725,0.8173766091500514
304,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.005,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7903849646552569,0.09719191258434924,0.8212314564503141,0.09518501653451725,0.8173766091500514
306,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.005,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7903849646552569,0.09719191258434924,0.8212314564503141,0.09518501653451725,0.8173766091500514
305,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.005,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7903849646552569,0.09719191258434924,0.8212314564503141,0.09518501653451725,0.8173766091500514
308,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904135380250609,0.09718528807122397,0.8211977910094067,0.09519397866688076,0.8173422177697174
310,"(150, 100, 50, 25, 10, 5)",tanh,adam,0.001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7904135380250609,0.09718528807122397,0.8211977910094067,0.09519397866688076,0.8173422177697174
