,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
629,1000,0.05,4,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9990346989560221,0.006595539126782856,0.8042931314103181,0.09959237122863869,0.8027316404375281
571,500,0.2,2,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9951535784289607,0.014778471132955447,0.8050150207657097,0.09940852205186876,0.8024082697064278
795,1000,0.2,7,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999653877693787,0.0012489173747563052,0.8044056765900279,0.09956373081018857,0.8017907792182368
595,500,0.2,7,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999653877693787,0.0012489173747563052,0.8044056765900279,0.09956373081018857,0.8017907792182368
395,100,0.2,7,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999599305504756,0.0013437720422671932,0.804308319956773,0.09958850653876362,0.8016921210257139
343,100,0.15,3,reg:squarederror,1,['rdvi_skewness'],0.9019990192377781,0.06645598877610258,0.8021505654848536,0.10013604753602087,0.8016271542824326
195,50,0.2,7,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9987230535255796,0.007585867623300417,0.8038027214945778,0.09971707438299006,0.8011797632257887
271,100,0.07,4,reg:squarederror,1,['rdvi_skewness'],0.9016287861520564,0.06658140084664683,0.8016017061923169,0.10027484635597196,0.8010768429811854
469,500,0.07,4,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9977314607283378,0.01011095235897898,0.8025549399289168,0.10003366369564064,0.8009795804070731
455,500,0.07,2,reg:squarederror,1,['rdvi_skewness'],0.9058949846214933,0.06512163534860005,0.8014755004863694,0.10030673485056331,0.800950303397709
770,1000,0.2,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9995250054470226,0.004626613575139567,0.8031113742914842,0.0998926081543245,0.7999442650307573
